key,vsm_actual_x,SaldoInsolutoActual_x,PagosVencidosMeses_x,vsm_actual_y,SaldoInsolutoActual_y,PagosVencidosMeses_y,estado
2270,2686.144,240.02,0,2686.144,245.04,0,Tamaulipas
2271,2686.144,104.38,0,2686.144,104.81,0,Tamaulipas
2272,2686.144,171.76,0,2686.144,172.48,0,Tamaulipas
2273,2686.144,254.02,0,2686.144,255.05,0,Jalisco
2274,2686.144,174.5,1,2686.144,176.96,0,Jalisco
2275,2686.144,229.86,0,2686.144,230.84,0,Tamaulipas
2276,2686.144,232.32,1,2686.144,235.76,1,Tamaulipas
2277,2686.144,121.1,0,2686.144,119.54,0,Tamaulipas
2278,2686.144,121.25,0,2686.144,121.9,0,Tamaulipas
2279,2686.144,48.36,0,2686.144,49.7,0,Tamaulipas
2280,2686.144,75.5,0,2686.144,76.69,0,Tamaulipas
2281,2686.144,176.44,0,2686.144,175.34,0,Tamaulipas
2282,2686.144,97.56,0,2686.144,98.53,0,Tamaulipas
2283,2686.144,37.15,0,2686.144,40.06,0,Tamaulipas
2284,2686.144,287.3,0,2686.144,288.61,0,Tamaulipas
2285,2686.144,169.99,0,2686.144,170.74,0,Tamaulipas
2286,2686.144,180.86,0,2686.144,181.67,0,Tamaulipas
2287,2686.144,70.72,0,2686.144,71.34,0,Tamaulipas
2288,2686.144,141.64,0,2686.144,142.28,0,Tamaulipas
2289,2686.144,104.82,0,2686.144,105.27,0,Tamaulipas
2290,2686.144,119.27,0,2686.144,119.78,0,Tamaulipas
2291,2686.144,123.75,0,2686.144,124.53,0,Tamaulipas
2292,2686.144,269.35,0,2686.144,270.53,0,Tamaulipas
2293,2686.144,107.55,0,2686.144,107.94,0,Tamaulipas
2294,2686.144,123.82,0,2686.144,124.41,0,Tamaulipas
2295,2686.144,86.18,0,2686.144,88.34,0,Tamaulipas
2296,2686.144,174.35,0,2686.144,176.85,0,Tamaulipas
2297,2686.144,80.19,0,2686.144,80.45,0,Tamaulipas
2298,2686.144,116.37,1,2686.144,116.83,0,Tamaulipas
2299,2686.144,98.09,0,2686.144,98.5,0,Tamaulipas
2300,2686.144,77.83,2,2686.144,76.86,1,Jalisco
2301,2686.144,59.23,0,2686.144,60.11,0,Tamaulipas
2302,2686.144,103.79,0,2686.144,104.24,0,Tamaulipas
2303,2686.144,320.31,0,2686.144,321.69,0,Tamaulipas
2304,2686.144,122.8,0,2686.144,122.71,0,Tamaulipas
2305,2686.144,0.0,0,2686.144,211.24,2,Tamaulipas
2306,2686.144,77.5,0,2686.144,77.84,0,Tamaulipas
2307,2686.144,213.85,0,2686.144,214.7,0,Tamaulipas
2308,2686.144,93.29,0,2686.144,95.35,0,Tamaulipas
2309,2686.144,85.73,0,2686.144,86.09,0,Tamaulipas
2310,2686.144,315.17,0,2686.144,319.64,0,Tamaulipas
2311,2686.144,77.92,0,2686.144,78.24,0,Tamaulipas
2312,2686.144,82.79,0,2686.144,83.16,0,Tamaulipas
2313,2686.144,139.54,0,2686.144,141.68,0,Tamaulipas
2314,2686.144,198.32,1,2686.144,199.73,1,Tamaulipas
2315,2686.144,201.45,0,2686.144,203.98,0,Tamaulipas
2316,2686.144,68.45,0,2686.144,72.82,0,Tamaulipas
2317,2686.144,132.49,0,2686.144,133.49,1,Tamaulipas
2318,2686.144,251.39,0,2686.144,256.87,0,Tamaulipas
2319,2686.144,24.91,0,2686.144,25.37,0,Tamaulipas
2320,2686.144,92.7,2,2686.144,92.08,1,Tamaulipas
2321,2686.144,227.2,0,2686.144,225.68,0,Tamaulipas
2322,2686.144,55.45,0,2686.144,55.69,0,Tamaulipas
2323,2686.144,69.9,0,2686.144,73.75,0,Tamaulipas
2324,2686.144,79.3,0,2686.144,79.62,0,Tamaulipas
2325,2686.144,114.58,0,2686.144,115.07,0,Tamaulipas
2326,2686.144,34.72,0,2686.144,34.28,0,Tamaulipas
2327,2686.144,150.96,1,2686.144,153.77,1,Jalisco
2328,2686.144,30.89,0,2686.144,31.06,0,Tamaulipas
2329,2686.144,26.6,0,2686.144,27.66,0,Tamaulipas
2330,2686.144,117.95,0,2686.144,118.95,0,Tamaulipas
2331,2686.144,29.45,0,2686.144,29.6,0,Tamaulipas
2332,2686.144,83.46,0,2686.144,84.67,0,Tamaulipas
2333,2686.144,118.64,1,2686.144,120.31,1,Tamaulipas
2334,2686.144,158.94,0,2686.144,160.06,0,Tamaulipas
2335,2686.144,58.95,1,2686.144,58.62,1,Jalisco
2336,2686.144,168.71,0,2686.144,171.22,0,Tamaulipas
2337,2686.144,164.82,0,2686.144,165.51,0,Tamaulipas
2338,2686.144,72.12,0,2686.144,72.36,0,Tamaulipas
2339,2686.144,85.14,0,2686.144,88.26,0,Tamaulipas
2340,2686.144,144.67,0,2686.144,145.29,0,Jalisco
2341,2686.144,190.87,2,2686.144,195.78,1,Tamaulipas
2342,2686.144,140.93,0,2686.144,142.72,0,Tamaulipas
2343,2686.144,104.98,0,2686.144,106.56,0,Tamaulipas
2344,2686.144,142.42,0,2686.144,142.92,0,Tamaulipas
2345,2686.144,55.15,0,2686.144,55.33,0,Tamaulipas
2346,2686.144,78.53,0,2686.144,78.86,0,Tamaulipas
2347,2686.144,125.9,0,2686.144,126.42,0,Tamaulipas
2348,2686.144,538.98,0,2686.144,541.24,0,Tamaulipas
2349,2686.144,116.64,0,2686.144,118.15,1,Tamaulipas
2350,2686.144,371.37,0,2686.144,372.87,0,Tamaulipas
2351,2686.144,191.99,1,2686.144,191.93,1,Jalisco
2352,2686.144,150.1,0,2686.144,149.05,0,Tamaulipas
2353,2686.144,103.76,1,2686.144,105.32,0,Tamaulipas
2354,2686.144,66.9,2,2686.144,67.93,1,Tamaulipas
2355,2686.144,207.37,0,2686.144,211.75,0,Tamaulipas
2356,2686.144,124.71,0,2686.144,125.23,0,Tamaulipas
2357,2686.144,232.11,0,2686.144,233.05,0,Tamaulipas
2358,2686.144,219.34,0,2686.144,220.29,0,Tamaulipas
2359,2686.144,181.72,0,2686.144,186.21,0,Tamaulipas
2360,2686.144,148.09,0,2686.144,150.28,0,Tamaulipas
2361,2686.144,0.0,0,2686.144,6.65,0,Tamaulipas
2362,2686.144,21.8,0,2686.144,38.3,0,Tamaulipas
2363,2686.144,41.38,0,2686.144,41.04,0,Tamaulipas
2364,2686.144,83.91,0,2686.144,83.35,0,Tamaulipas
2365,2686.144,120.72,1,2686.144,123.87,1,Tamaulipas
2366,2686.144,89.37,0,2686.144,91.81,0,Tamaulipas
2367,2686.144,292.04,0,2686.144,295.07,0,Tamaulipas
2368,2686.144,141.15,0,2686.144,141.8,0,Tamaulipas
2369,2686.144,174.71,0,2686.144,175.49,0,Tamaulipas
2370,2686.144,76.16,0,2686.144,76.44,0,Tamaulipas
2371,2686.144,84.66,1,2686.144,85.85,1,Tamaulipas
2372,2686.144,165.27,1,2686.144,166.01,0,Tamaulipas
2373,2686.144,125.98,0,2686.144,126.55,0,Tamaulipas
2374,2686.144,216.91,0,2686.144,215.67,0,Tamaulipas
2375,2686.144,48.95,0,2686.144,53.33,0,Tamaulipas
2376,2686.144,11.38,0,2686.144,11.55,0,Tamaulipas
2377,2686.144,100.91,0,2686.144,102.35,0,Tamaulipas
2378,2686.144,130.55,0,2686.144,131.72,0,Tamaulipas
2379,2686.144,94.21,0,2686.144,96.57,0,Tamaulipas
2380,2686.144,89.51,0,2686.144,89.88,0,Tamaulipas
2381,2686.144,65.68,0,2686.144,66.66,0,Tamaulipas
2382,2686.144,64.55,1,2686.144,65.87,1,Tamaulipas
2383,2686.144,108.87,0,2686.144,109.32,0,Tamaulipas
2384,2686.144,99.97,3,2686.144,98.56,2,Tamaulipas
2385,2686.144,70.75,0,2686.144,71.85,0,Tamaulipas
2386,2686.144,177.69,0,2686.144,176.61,0,Tamaulipas
2387,2686.144,80.09,0,2686.144,80.38,0,Tamaulipas
2388,2686.144,139.4,0,2686.144,183.03,0,Coahuila
2389,2686.144,138.1,0,2686.144,138.75,0,Tamaulipas
2390,2686.144,118.44,0,2686.144,119.61,0,Tamaulipas
2391,2686.144,308.71,0,2686.144,313.31,0,Tamaulipas
2392,2686.144,100.45,0,2686.144,102.41,0,Tamaulipas
2393,2686.144,277.64,0,2686.144,294.02,0,Tamaulipas
2394,2686.144,341.44,0,2686.144,338.78,0,Tamaulipas
2395,2686.144,249.15,0,2686.144,247.46,0,Tamaulipas
2396,2686.144,177.85,0,2686.144,178.56,0,Tamaulipas
2397,2686.144,156.81,1,2686.144,157.43,0,Tamaulipas
2398,2686.144,196.81,0,2686.144,197.66,0,Tamaulipas
2399,2686.144,192.68,0,2686.144,193.45,0,Tamaulipas
2400,2686.144,203.26,0,2686.144,204.13,0,Tamaulipas
2401,2686.144,339.94,0,2686.144,341.21,0,Tamaulipas
2402,2686.144,270.03,0,2686.144,275.9,0,Tamaulipas
2403,2686.144,81.28,0,2686.144,81.61,0,Tamaulipas
2404,2686.144,149.13,0,2686.144,149.64,0,Tamaulipas
2405,2686.144,173.17,0,2686.144,173.93,0,Coahuila
2406,2686.144,124.96,0,2686.144,125.64,0,Coahuila
2407,2686.144,193.01,0,2686.144,192.03,0,Coahuila
2408,2686.144,620.6,0,2686.144,623.39,0,Coahuila
2409,2686.144,106.04,0,2686.144,108.85,0,Coahuila
2410,2686.144,170.54,0,2686.144,172.83,0,Coahuila
2411,2686.144,77.83,0,2686.144,77.39,0,Coahuila
2412,2686.144,239.63,0,2686.144,240.69,0,Coahuila
2413,2686.144,139.57,0,2686.144,138.04,0,Coahuila
2414,2686.144,114.01,0,2686.144,114.51,0,Coahuila
2415,2686.144,145.61,0,2686.144,146.87,0,Coahuila
2416,2686.144,145.97,0,2686.144,146.62,0,Coahuila
2417,2686.144,272.04,0,2686.144,274.4,0,Coahuila
2418,2686.144,133.1,0,2686.144,130.78,0,Coahuila
2419,2686.144,97.88,1,2686.144,98.53,1,Coahuila
2420,2686.144,106.74,0,2686.144,110.42,0,Coahuila
2421,2686.144,243.92,0,2686.144,245.07,0,Chihuahua
2422,2686.144,165.61,0,2686.144,166.46,0,Jalisco
2423,2686.144,229.09,0,2686.144,229.99,0,Chihuahua
2424,2686.144,163.14,0,2686.144,166.58,0,Chihuahua
2425,2686.144,161.76,0,2686.144,162.77,0,Chihuahua
2426,2686.144,243.83,0,2686.144,246.21,0,Chihuahua
2427,2686.144,217.77,0,2686.144,217.01,0,Chihuahua
2428,2686.144,210.53,0,2686.144,211.6,0,Chihuahua
2429,2686.144,252.99,0,2686.144,256.92,0,Chihuahua
2430,2686.144,191.61,0,2686.144,192.47,0,Chihuahua
2431,2686.144,315.57,1,2686.144,318.58,1,Chihuahua
2432,2686.144,253.17,0,2686.144,259.75,0,Chihuahua
2433,2686.144,267.67,0,2686.144,269.37,0,Chihuahua
2434,2686.144,325.87,0,2686.144,327.33,0,Chihuahua
2435,2686.144,330.12,0,2686.144,332.05,0,Chihuahua
2436,2686.144,204.13,0,2686.144,207.32,0,Chihuahua
2437,2686.144,426.19,0,2686.144,428.24,0,Chihuahua
2438,2686.144,567.49,0,2686.144,575.26,1,Chihuahua
2439,2686.144,543.76,0,2686.144,630.9,1,Chihuahua
2440,2686.144,313.0,0,2686.144,314.33,0,Chihuahua
2441,2686.144,272.57,0,2686.144,274.34,0,Chihuahua
2442,2686.144,253.62,0,2686.144,257.53,0,Chihuahua
2443,2686.144,252.8,0,2686.144,254.88,0,Chihuahua
2444,2686.144,181.52,0,2686.144,182.3,0,Chihuahua
2445,2686.144,187.46,0,2686.144,184.39,0,Jalisco
2446,2686.144,126.82,0,2686.144,127.37,0,Chihuahua
2447,2686.144,222.8,0,2686.144,223.75,0,Chihuahua
2448,2686.144,172.21,0,2686.144,173.0,0,Chihuahua
2449,2686.144,181.66,1,2686.144,180.43,0,Jalisco
2450,2686.144,130.13,0,2686.144,127.85,0,Nayarit
2451,2686.144,97.14,0,2686.144,97.95,0,Nayarit
2452,2686.144,135.52,0,2686.144,136.05,0,Nayarit
2453,2686.144,136.2,0,2686.144,136.74,0,Nayarit
2454,2686.144,156.83,0,2686.144,157.46,0,Nayarit
2455,2686.144,140.12,0,2686.144,141.31,0,Jalisco
2456,2686.144,182.01,0,2686.144,182.71,0,Jalisco
2457,2686.144,103.76,0,2686.144,104.13,1,Nayarit
2458,2686.144,183.9,0,2686.144,184.67,0,Jalisco
2459,2686.144,40.3,1,2686.144,40.93,0,Jalisco
2460,2686.144,195.12,1,2686.144,195.89,1,Nayarit
2461,2686.144,202.48,0,2686.144,203.31,0,Jalisco
2462,2686.144,76.47,0,2686.144,76.78,0,Nayarit
2463,2686.144,245.16,0,2686.144,246.1,0,Jalisco
2464,2686.144,223.14,0,2686.144,224.04,0,Nayarit
2465,2686.144,150.05,0,2686.144,150.66,0,Nayarit
2466,2686.144,33.29,0,2686.144,33.41,0,Jalisco
2467,2686.144,122.18,0,2686.144,122.71,0,Jalisco
2468,2686.144,187.62,2,2686.144,186.38,2,Nayarit
2469,2686.144,241.0,0,2686.144,245.39,0,Jalisco
2470,2686.144,62.19,2,2686.144,63.89,1,Jalisco
2471,2686.144,222.27,0,2686.144,223.19,0,Nayarit
2472,2686.144,32.87,0,2686.144,33.38,0,Jalisco
2473,2686.144,120.5,0,2686.144,121.03,0,Jalisco
2474,2686.144,95.53,0,2686.144,96.82,0,Jalisco
2475,2686.144,134.05,0,2686.144,134.56,0,Nayarit
2476,2686.144,126.35,0,2686.144,127.35,0,Jalisco
2477,2686.144,130.7,0,2686.144,131.43,0,Nayarit
2478,2686.144,271.05,1,2686.144,272.03,1,Nayarit
2479,2686.144,39.54,0,2686.144,39.67,0,Jalisco
2480,2686.144,109.89,0,2686.144,110.67,0,Jalisco
2481,2686.144,154.0,1,2686.144,154.68,0,Jalisco
2482,2686.144,152.76,0,2686.144,153.39,0,Nayarit
2483,2686.144,140.44,0,2686.144,142.54,0,Nayarit
2484,2686.144,0.0,0,2686.144,182.33,0,Jalisco
2485,2686.144,91.5,2,2686.144,94.96,2,Nayarit
2486,2686.144,214.89,0,2686.144,216.7,1,Jalisco
2487,2686.144,90.11,0,2686.144,92.33,0,Nayarit
2488,2686.144,164.1,0,2686.144,165.52,0,Jalisco
2489,2686.144,49.86,2,2686.144,48.93,1,Jalisco
2490,2686.144,142.28,0,2686.144,164.85,0,Jalisco
2491,2686.144,171.45,0,2686.144,172.9,0,Nayarit
